resolution_id,description
231,The Health Departmentâs Office of Environmental Investigations has determined this case was an isolated incident. The Departmentâs Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. All food establishments are inspected annually. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.
232,The Department of Environmental Protection (DEP) investigated this request and completed a search of the catch basin.
233,The Department of Environmental Protection investigated this complaint and referred it to another agency or utility for further action.
234,Work to correct the reported condition is under review for a future capital project.
235,The Department of Environmental Protection investigated this complaint and found that no asbestos was disturbed.
236,No action was taken because NYC Parks determined that the issue is out of its jurisdiction. The condition may be on private property or in an area serviced by another organization.
237,The Department of Health and Mental Hygiene has investigated the complaint and no violations were cited.
238,The Department of Health and Mental Hygiene (DOHMH) actioned and closed your service request. No further updates will be available.
239,The Department of Education completed the work and corrected the condition.
240,The Department of Buildings has attempted to conduct an inspection of this premises and was denied access. A second attempt will be made.
241,The Department of Transportation inspected the condition you reported and determined that it requires general maintenance. The details have been processed into another system and it is expected to be repaired in a future project.
242,The Department of Environmental Protection (DEP) observed a violation of the NYC Air or Noise Code during the inspection. DEP issued a summons.
243,The Department of Transportation investigated this Service Request and determined this street requires general maintenance. This location has been processed into another system and is expected to be repaired in 30 days.
244,The Department of Buildings has made an attempt execute an access warrant at this property and was denied access. Another attempt will be made.
245,NYC Parks inspected the condition and determined that the issue is out of their jurisdiction.
246,The Department of Transportation has approved the sidewalk re-inspection request. The property owner will be notified by mail within 120 days with the date of re-inspection.
247,"The Service Request submitted did not have sufficient location or complaint information for NYC Parks to respond.  Please submit a new Service Request with adequate site details, including a full street address and descriptive location information."
248,The Department of Buildings has reviewed this complaint and determnined that it would be best addressed by its Quality of Life Unit.
249,The DOHMH has investigated the complaint and issued a Notice of Violation. The agency will continue to monitor.
250,"The Department of Transportation is unable to schedule a sidewalk dismissal inspection because there is no record of a permit to make a sidewalk repair. Owner must obtain a permit of record. Once a permit is obtained, the owner must call 3-1-1 to make another request for sidewalk dismissal - work done by owner."
251,The Department of Sanitation periodically conducted surveillance at the location and during those times no violations were observed.
252,The Department of Transportation (DOT) did not find the reported condition.
253,"NYC Parks determined that the requested site is ineligible for the Trees and Sidewalks Program, because the tree is not adjacent to a 1-, 2-, or 3-family home (NYC Tax Class 1 property).   You can repair the sidewalk yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website"
254,You withdrew your complaint. The Department of Consumer and Worker Protection (DCWP) will not take any action.
255,"The condition was inspected and it was in compliance with Department of Transportation standards, not hazardous, or a valid permit exists."
256,The Department of Buildings reviewed this complaint and assigned it to the Special Operations Team for further action.
257,The Department of Housing Preservation and Development inspected the following conditions. A Section 8 Failure was issued. Both the tenant and the property owner will receive a notice in the mail regarding the details of the Failure and the resulting action by the Agency.
258,NYC Parks reviewed your complaint and determined that the issue needs to be handled by the Department of Transportation (DOT). Please report it to DOT by contacting 311.
259,The Department of Health and Mental Hygiene has investigated your complaint. You can get the status by calling (646) 632-6023 on weekdays between 9 AM and 5 PM. This service request has been closed.
260,"The Department of Environmental Protection (DEP) investigated this complaint. There is an active asbestos abatement project on file at the location. Because the work is in compliance with all of DEP's rules and regulations, no summons was issued."
261,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the Human Resources Administration (HRA). NYC311 can help you file a complaint or contact the agency for further assistance.
262,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd
263,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the Department of Motor Vehicles. Call (800) 698-2931 or (518) 486-9786. You can also visit dmv.ny.gov.
264,"The Department of Transportation has denied the sidewalk re-inspection request. The request to re-inspect is past the 75 day original notification period. The property owners are responsible for maintaining, repairing and installing sidewalks adjoining their properties."
265,"The Department of Transportation inspected the condition and made the determination that the street meets resurfacing standards and will be planned for either the next or future resurfacing seasons (2 - 3 years). The Department of Transportation works with Community Boards and elected officials to determine resurfacing priority. For specific scheduling information regarding your street, contact your Community Board."
266,This request has been referred to Parks Enforcement Patrol and will be monitored in upcoming patrols.
267,NYC Parks determined that this issue is not within its jurisdiction. Please file a Service Request with the Department of Transportation.
268,The Department of Transportation has determined that this issue is not within its jurisdiction. It has been referred to the Metropolitan Transportation Authority.
269,"Please call 311 for further information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675)."
270,The Department of Transportation inspected the condition you reported and determined that this issue is not within its jurisdiction.
271,The Department of Sanitation (DSNY) spoke with the business about proper procedures and best practices.
272,The Department of Environmental Protection investigated the issue and found that the water source mentioned was not City water and therefore not under City jurisdiction.
273,"The Service Request submitted did not have sufficient location or complaint information for NYC Parks to respond. Please submit a new Service Request with adequate site details, including a full street address and descriptive location information."
274,"The cleaning crew was dispatched, but the owner refused to have the graffiti removed."
275,The reported condition was inspected and a summons has been issued.
276,The Department of Buildings investigated this complaint and issued a violation.
277,The condition was inspected and determined not to be within the jurisdiction of the Department of Transportation. The Department of Transportation notified the appropriate responsible party of the complaint.
278,The Department of Buildings reviewed this complaint and referred it to the New York City Housing Authority for further action.
279,Department of Sanitation (DSNY) cleaning crews will address the condition.
280,The Department of Transportation removed the abandoned bike.
281,The Department of Transportation (DOT) completed the request or corrected the condition.
282,"The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  Unfortunately, DCWP doesn't know of any agency that can act on the complaint and can't provide further assistance."
283,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint."
284,The Department of Environmental Protection spoke to the complainant via telephone and was able to resolve the complaint without inspection.
285,"NYC DEP investigated and determined the infrastructure required cleaning, which was completed at the time pf the inspection."
286,The Department of Environmental Protection investigated this complaint and installed caps and chains.
287,NYC DEP investigated and determined the seepage basin was functioning properly and no further action required.  Seepage  basin typically drain within 72 hours.
288,The Department of Transportation investigated this request and determined this street requires a reconstruction project. This location is part of an existing project or may be included in a future project. These projects are long term and vary in length.
289,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You can pursue your complaint in the Court System. Call (800) 268-7869 or visit nycourts.gov.
290,The Department of Sanitation (DSNY) cleaned the location.
291,The Department of Sanitation (DSNY) closed your Service Request. The condition doesn't meet their criteria for a complaint or Service Request.
292,The Taxi and Limousine Commission was unable to identify the driver or medallion owner in relation to your complaint.
293,The Department of Buildings reviewed this complaint and referred it to the Department of Health and Mental Hygiene for further action.
294,The Department of Health and Mental Hygiene has investigated the complaint. No Health Code violations or health hazards noted. No further action needed.
295,"NYC Parks attempted to inspect the reported condition but could not find the location. Please file a new Service Request with adequate site details, including a full street address and descriptive location information."
296,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the Westchester County Department of Consumer Protection. Call (914) 995-2155 or visit consumer.westchestergov.com.
297,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the New York State Office of the Attorney General. Call (800) 771-7755 or visit ag.ny.gov.
298,The Department of Consumer and Worker Protection (DCWP) is reviewing your complaint. DCWP may contact you directly if it needs additional information.
299,NYC Parks determined that another entity needs to handle the condition. They have notified the appropriate resource.
300,NYC Parks didn't take action because the issue you reported is out of their jurisdiction.
301,The Department of Transportation determined that this issue is not within its jurisdiction.
302,The Department of Buildings has inspected this location and found a compliance deficiency resulting in a Full Stop Work Order.
303,NYC Parks determined that the condition you reported is an emergency and notified the New York City Police Department (NYPD).
304,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.
305,"The Department of Environmental Protection attempted to contact the complainant by phone, but the phone number provided was incorrect. If the problem still exists, please call 311 and file a new complaint with the correct phone number. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675)."
306,The Police Department made an arrest in response to the complaint.
307,"The Department of Sanitation will note this location for periodic surveillance, which may take place at various times."
308,An inspection of the property was conducted and it passed with minor violations found.
309,Work to correct the reported condition has been deferred because of seasonal considerations and will be corrected as soon as possible.
310,See notes for more information
311,The Department of Environmental Protection sent a report to the complainant.
312,The Department of Buildings reviewed this complaint and referred it to the Department of Environmental Protection for further action.
313,The Department of Environmental Protection investigated this complaint and referred it to the Bureau of Water and Sewer Operations for further action.
314,The Department of Sanitation (DSNY) removed the items.
315,The Department of Transportation repaired the bike rack condition.
316,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the Department of Buildings (DOB). NYC311 can help you file a complaint or contact the agency for further assistance.
317,The Department of Transportation inspected the condition you reported. It has been entered into the maintenance system. It will be repaired within 30 days.
318,"The Department of Environmental Protection took primary, secondary and/or final tanks out of service for routine maintenance or repair."
319,"The NYC Health Department (DOHMH) closed your service request. They referred your complaint to the Port Authority of New York and New Jersey. To learn more, contact the Port Authority at (212) 435-7000 or panynj.gov."
320,The Department of Sanitation investigated this complaint and salted the area.
321,The Department of Environmental Protection determined that there was a mechanical equipment failure at the wastewater treatment plant. Repairs have been scheduled or completed.
322,The condition has been inspected and the party in question has been educated.  The situation has been remedied.
323,The Taxi and Limousine Commission (TLC) has determined that this complaint is a duplicate of another complaint on file. TLC has closed this complaint and is proceeding with the other complaint.
324,"The Department of Environmental Protection requires an appointment to inspect this complaint type.  Complainant information was not provided and an appointment could not be scheduled.  The complaint has been closed. If the problem still exists, please call 311 and file a new complaint including your contact information."
325,The Department of Health and Mental Hygiene could not access the site to complete an investigation. Call 311 and file another service request to provide additional access information.
326,The Department of Sanitation (DSNY) closed your Service Request. DSNY determined the vehicle isn't eligible for removal. DSNY doesn't have jurisdiction over vehicles showing signs of active ownership. They also can't remove vehicles that would cause DSNY to damage property to remove them.
327,The Department of Housing Preservation and Development has closed this complaint administratively. More information can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.
328,The Department of Sanitation plowed the area.
329,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the Department of Health and Mental Hygiene (DOHMH). NYC311 can help you file a complaint or contact the agency for further assistance.
330,The Department of Environmental Protection (DEP) found asbestos during the inspection. DEP issued a violation.
331,NYC Parks does not perform tree work for phone or cable service. Please contact the appropriate service provider.
332,"The Department of Transportation has inspected the location within the last six months and has either notified or will notify the property owner of any defective sidewalk conditions. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.Â"
333,"The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required, please contact the borough office with your complaint number at 718 286 - 0823 (QUEENS)."
334,"The Department of Health and Mental Hygiene could not locate the address provided. Please go online to nyc.gov/311 or call 311 and file another request and provide the complete street address of the builiding. If your complaint was about a vacant lot, abandoned building ,street, or in a sewer, provide the nearest street address or intersection."
335,"The Department of Environmental Protection inspected your complaint and determined that the catch basin is now functioning properly.  If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint."
336,The Department of Health and Mental Hygiene has investigated the complaint and issued a violation. The agency will continue to monitor.
337,The cleaning crew was not able to access the graffiti.
338,The Department of Environmental Protection performed an odor survey and found no odors.
339,The Department of Transportation inspected this complaint and did not find the reported problem.
340,The Department of Environmental Protection investigated this complaint and resolved the issue during a field inspection.
341,The Department of Environmental Protection investigated this complaint and resolved the manhole overflow.
342,"The location was inspected and is suitable for tree planting. Barring any unforeseen issues such as underground utilities and based on available funding, the requested tree will be placed on an upcoming contract. Please note that this process can take up to two years, depending on capacity and the location.   To find out where and when trees will be planted, please visit the Tree Work Hub at nyc.gov/parks/treework.  To learn more about the trees in your neighborhood, visit the NYC Street Tree Ma"
343,The Department of Transportation has determined that this issue is not within its jurisdiction. It has been referred to the New York City Police Department.
344,The Department of Transportation has determined that this issue is not within its jurisdiction. It has been referred to the Department of Buildings.
345,A DOB violation was issued for failing to comply with an existing Stop Work Order.
346,"Upon inspection, the reported condition was not found, therefore no action was taken."
347,The Department of Buildings has investigated this complaint and found that previous conditions that presented an imminent danger during occupancy of the property have been corrected. A full vacate order rescission has been granted.
348,Your report has been sent to the Taxi and Limousine Commission (TLC). You are not available to participate in a hearing so TLC cannot take any action against the driver or car service company. No further information will be available for your report.
349,"Your complaint was referred to the vendor, CityBridge."
350,The lot you reported isn't vacant because it contains an occupied structure. The Department of Sanitation (DSNY) will refer your complaint to their enforcement division for further action.
351,The Department of Transportation referred this complaint to the Inspections Unit for further action.
352,DOHMH investigated the complaint.  A Notice of Violation was not issued.  An advisory was provided for the management.
353,The cleaning crew could not locate the property requiring graffiti removal.
354,The Department of Transportation removes all snow from sidewalks on overpasses and bridges. Response time to all bridges and overpasses varies depending on location and other priority factors. All snow will be removed based on the priority schedule.
355,The Department of Buildings investigated this complaint and prepared a violation but were unable to issue it.
356,The Department of Environmental Protection investigated this complaint and determined that the information provided by the complainant was incomplete or incorrect.
357,The Department of Sanitation has sent this complaint to the appropriate district garage or bureau for further action.
358,The Department of Environmental Protection investigated this complaint and resolved the issue.
359,The propery is owned by a Federal or State Agency. The City will attempt to notify the appropriate agency.
360,An attempt was made to investigate the condition you reported but the inspector could not gain access to the site.
361,The reported condition was inspected and a work order has been filed to correct it.
362,"The lot you reported is locked. To clean it, the Department of Sanitation (DSNY) needs an access warrant. The conditions DSNY observed don't meet the criteria for the courts to grant a warrant.   The agency will send cleaning crews to address the conditions they can reach outside the locked area."
363,"The Department of Transportation inspected the condition you reported and issued a summons to the responsible party. A re-inspection will be done within 10 days. If the condition still exists, a second summons will be issued. In some cases, the Department of Transportation will make the repairs and charge the responsible party for the costs."
364,"The Department of Transportation (DOT) reviewed the condition you reported. You can find additional information in the ""Notes to Customer"" field."
365,"The Department of Sanitation (DSNY) closed your Service Request. They didn't have enough information to investigate the complaint. If the condition still exists, please file a new request. Make sure to include more details and a full address."
366,The Department of Environmental Protection investigated the complaint and sent a letter of potability and/or a water quality report.
367,NYC Parks inspected and determined the issue was out of its jurisdiction. The condition may be on private property or in an area serviced by another organization.
368,The City inspected the condition you reported and asked the Department of Environmental Protection to address the issue.
369,The Department of Transportation inspected the condition and opened a repair order. Repairs of this type are corrected within 180 (120 Biz) days from the date of inspection.
370,The owner claimed the bicycle was not abandoned.
371,"Upon inspection, the Department of Transportation could not find the reported condition, therefore no action was taken."
372,The Department of Buildings investigated this complaint and filed an Unsafe Building notice.
373,The Department of Buildings reviewed this complaint and assigned it to the Night Emergency Squad for further action.
374,The Department of Transportation has denied the request to dismiss the Sidewalk violation because there is no record of City repair.
375,The Department of Environmental Protection investigated this complaint. No violation was found or issued.
376,The Department of Transportation requires 365 days to respond to this type of complaint. Please note your Service Request number for future reference.
377,The Department of Health and Mental Hygiene investigated the complaint and did not find any Health Code violations or health hazards. No further action is necessary.
378,"NYC Parks created a work order for the tree condition and expects to address the issue within 28 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit th"
379,"More than one complaint was received for this building-wide condition.This complaint status is for the initial complaint.The Department of Housing Preservation and Development was not able to gain access to your apartment to inspect for a lack of heat or hot water. However, HPD was able to verify that heat or hot water was inadequate by inspecting another apartment and a violation was issued. Information about specific violations is available at www.nyc.gov/hpd."
380,The New York City Economic Development Corporation determined that the helicopter tour operator was operating within the limits of the New York City Helicopter Sightseeing Plan which establishes specific over water routing for tour flights.
381,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.
382,The Department of Housing Preservation and Development conducted an inspection for the following conditions and identified potential lead-based paint conditions. HPD will attempt to contact you to schedule a follow-up inspection to test the paint for lead.
383,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the Taxi and Limousine Commission (TLC). NYC311 can help you file a complaint or contact the agency for further assistance.
384,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the Department of Environmental Protection (DEP). NYC311 can help you file a complaint or contact the agency for further assistance.
385,"The Department of Education determined that this complaint concerns a charter school and forwarded it to the Office of Charter Schools. The Office of Charter Schools will contact you, or you may follow up with them directly."
386,The Department of Buildings investigated this complaint and issued a stop work order for after-hours work only.
387,"The Department of Sanitation (DSNY) closed your Service Request. After tagging the vehicle, DSNY found that the vehicle had license plates. DSNY doesn't have jurisdiction over vehicles with license plates on them. DSNY will refer your request to the NYPD for further action."
388,"The Department of Environmental Protection attempted to investigate this complaint but the address was incorrect. If the problem still exists, please call 311 and file a new complaint with the correct address. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675)."
389,NYC Parks determined that this issue is not within its jurisdiction. Please file a Service Request with the New York City Housing Authority.
390,The E-Scooter was removed.
391,"The Taxi and Limousine Commission has issued a notice to the driver, asking the driver to plead guilty to an appropriate charge. If a hearing is needed, you will be notified by mail or email of your hearing date."
392,The Department of Environmental Protection investigated the complaint and issued a violation or order.
393,The Bicycle was found to be affixed to private property and therefore not eligible for removal by the City.
394,General maintenance and cleaning is on a regular schedule. The next scheduled maintenance and cleaning will correct the condition.
395,The Department of Transportation inspected the condition you reported and found that the condition meets DOT standards and/or there is a valid permit to conduct work.
396,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the New York State Department of Financial Services. Call (800) 342-3736 or visit dfs.ny.gov.
397,"The Department of Transportation has inspected the location and notified the property owner of any defective sidewalk conditions. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code."
398,The Department of Education determined that this issue is not within its jurisdiction. Your complaint has been referred.
399,The Department of Environmental Protection determined that this complaint is a duplicate to another service request.
400,The Department of Sanitation observed illegal postings at the location. The Department will issue a Summons to the responsible party once it is identified.
401,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the Department of Finance (DOF). NYC311 can help you file a complaint or contact the agency for further assistance.
402,NYC Parks or another agency performed work to make the site safe and passable. Any debris remaining at the site will be removed as soon as possible. This process may be delayed after a storm.
403,The Department of Transportation (DOT) found that the issue you reported is a New York City Police Department (NYPD) issue.  Please file a new service request with the NYPD.
404,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the New York State Department of Environmental Conservation. Call (518) 402-8044 or email contact@dec.ny.gov.
405,"The Department of Environmental Protection investigated this complaint but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675)."
406,The Department of Environmental Protection determined that sludge thickener tanks were being dumped by wastewater treatment plant personnel at the time of the complaint.
407,The Department of Sanitation has noted this as a location of concern.
408,The Department of Environmental Protection inspected the condition and determined that it is outside its jurisdiction.
409,The Department of Sanitation (DSNY) cleaned the lot.
410,The Department of Environmental Protection investigated this complaint and found groundwater flooding.
411,The Department of Transportation inspected this complaint and found that the problem was fixed.
412,The condition described in your request is in compliance with Department of Transportation's (DOT) standards.
413,NYC Parks reviewed your complaint and determined that the issue needs to be handled by the Department of Sanitation (DSNY). Please report it to DSNY by contacting 311.
414,NYC Parks reviewed this request and will visit the location to investigate the condition.
415,The Department of Transportation has removed the items.
416,The Department of Buildings has investigated this complaint and found evidence that the standing vacate order is not being complied with. A failure to comply with the Vacate order summons has been issued.
417,The Department of Environmental Protection investigated this complaint and sent it to the Industrial Waste Division for further action.
418,"The Department of Sanitation (DSNY) found an open Service Request already exists for the same location.  DSNY's system can't accept more than one complaint per address at a time. Your Service Request has been closed. DSNY will address the original request.  If you filed the original request, you can get the status with your Service Request number at nyc.gov/311 or by calling 311.  If you didn't file it, you can get the status by calling DSNY at (212) 291-1220."
419,NYC Parks determined that this issue is not within its jurisdiction. Please contact the New York Police Department for assistance.
420,The Department of Environmental Protection investigated this complaint and determined that no repair is needed.
421,"The NYC Health Department (DOHMH) Bureau of Child Care received your complaint. To learn more, call them at (646) 632-6101. This service request has been closed. No further updates will be available."
422,The agency was unable to respond to this complaint because they allocated resources to other critical services at the time. All complaints are used for future enforcement planning.
423,"The NYC Health Department (DOHMH) closed your service request. They referred your complaint to Con Edison. To learn more, contact Con Ed at (888) 752-6633 or coned.com/contact-us."
424,The Department of Buildings has investigated this complaint and found that previous conditions that presented an imminent danger duing occupancy of a portion of the property have been corrected. A partial vacate order rescission has been granted.
425,The Department of Health and Mental Hygiene determined that this issue is not within its jurisdiction. The Service Request has been referred to the Department of Environmental Protection.
426,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the Federal Communications Commission. Call (888) 225-5322 or visit fcc.gov.
427,The Department of Environmental Protection investigated this complaint and found no violation.
428,The Department of Buildings has investigated this complaint and found evidence of conditions that present an imminent danger duing occupancy of the entire property. A full vacate order has been issued.
429,"The condition you reported was investigated.  The results are pending.   If you need more information, you may call (646) 632-6104."
430,The Department of Buildings investigated this complaint and determined that additional research is required.
431,An inspection is currently in progress to determine whether the reported condition requires further action.
432,"The Department of Buildings attempted to investigate this complaint but the address was invalid. If the problem still exists, please call 311 and file a new complaint with the correct address. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675)."
433,"You were mailed a notice of complaint inactivation which detailed why this complaint was inactivated.  If you need more information, you may call (646) 632-6104"
434,"NYC Parks created a work order for the tree condition and  expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit "
435,The Department of Education reviewed the complaint and determined that there is insufficient information to act on. If the condition persists please file a new service request with more details.
436,"The Department of Transportation's inspectors could not find the address you reported. If you would like to pursue the complaint, please check the address and call 311 or (212) 639-9675 with updated location information."
437,The Department of Environmental Protection investigated this complaint and referred it to the Department of Design and Construction for further action.
438,"The New York City Economic Development Corporation received your complaint. You did not provide enough information for the agency to be able to act on your request. Â In the future if you could note the date, time and place of the sighting and the direction the helicopter was travelling, as well as whether it was hovering or not, it would help in our review.Â  We can thenÂ  associate your complaint with a specific flight track from Port Authority or FAA records."
439,The Office of Technology and Innovation determined that no inspection is necessary.
440,"The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required, please contact the borough office with your complaint number at 212 234 - 7485 (MANHATTAN)."
441,An inspection of the property you reported was attempted but the inspector could not gain access. The Health Department will make one additional attempt to access the property within the next two weeks. Please call back or or go online to nyc.gov/311 in 21 days for final status of this complaint.
442,"The Department of Transportation (DOT) inspectors could not find the condition you reported.  If the condition still exists, please submit a new Service Request by calling 311."
443,"The Taxi and Limousine Commission (TLC) called and left a message for you. They need to speak with you to confirm the details of your complaint. If you do not respond within 14 days, your complaint will be closed."
444,"NYC Parks inspected the requested repair site. This site meets the criteria for repair under the Trees & Sidewalks Program. However due to a high number of requests, they are only able to repair the very highest sites at this time, and your site has been waitlisted."
445,"The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required, please contact the borough office with your complaint number at 718 816 - 2340 (STATEN ISLAND)."
446,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.   You should contact the New York State Education Department's Bureau of Proprietary School Supervision. Call (212) 643-4760 or visit acces.nysed.gov/bpss.
447,The Department of Environmental Protection investigated this complaint and found the repairs completed.
448,The sidewalk was repaired by the City. The bill for repair has been recorded at the Dept. of Finance and the County Clerkâs Office. The County Clerkâs office will record the Dismissal. This process may take up to 30 days.
449,The Department of Health and Mental Hygiene determined that this issue is not within its jurisdiction. It has been referred to the Department of Buildings.
450,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the Commission on Human Rights (CCHR). NYC311 can help you file a complaint or contact the agency for further assistance.
451,The Department of Buildings reviewed this complaint and referred it to the Department of Real Property for further action.
452,"The Department of Consumer and Worker Protection (DCWP) sent you a complaint form.  To help you, DCWP must get the completed form and any requested documents within 30 days.  You can send requested information by email, fax, or mail. Contact information is on the complaint form.  You may also be able to submit requested information at nyc.gov/dcwp. You must enter your NYC311 Service Request number.  If you didn't receive the complaint form within 15 days from the date you filed your Service Requ"
453,"The Department of Sanitation (DSNY) closed your Service Request. DSNY referred the vehicle for removal. If it still meets the criteria for removal at the next inspection, DSNY will remove it."
454,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed and is attributed to a defective sewer.
455,No Link kiosk was found at this location. Please confirm the location and submit a new Service Request if the problem has not been resolved.
456,This is a NYC Department of Transporation Bike-Share location. Please report conditions at this location to NYC DOT via 3-1-1.
457,"NYC Parks created a work order for the tree condition and is expects to address the issue within 28 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit"
458,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.
459,NYC DEP investigated and determined that the catch basin connection required flushing to alleviate the condition which was completed at the time of the inspection.
460,The Department of Environmental Protection investigated the complaint and issued a Commissioner's Order to install a grease interceptor.
461,The Department of Transportation contacted the customer and resolved the service request or provided the information requested.
462,The Department of Parks and Recreation has completed the requested work order and corrected the problem.
463,A Litter Basket was removed from this location due to household and/or commercial waste being placed in and/or alongside the basket.
464,The Department of Transportation (DOT) issued a summons to the restaurant.
465,"The NYC Health Department (DOHMH) closed your service request. They referred your complaint to the Department of Buildings (DOB). To learn more, contact DOB at (212) 566-5000 or nyc.gov/dob."
466,The Department of Health and Mental Hygiene determined that this issue is not within its jurisdiction. It has been referred to the Department of Environmental Conservation.
467,The Department of Health and Mental Hygiene has investigated the complaint.Â  No Health Code violations or health hazards noted. No further action needed.
468,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the New York State Department of Transportation. Call (518) 457-6195 or visit dot.ny.gov.
469,The Department of Environmental Protection investigated this complaint and referred it to the Department for Design and Construction for further action.
470,The DOHMH has investigated the complaint and observed a violation.  DOHMH ordered the condition to be corrected. The agency will continue to monitor for compliance.
471,The DOHMH has investigated the complaint and issued a Notice of Violation. The agency will continue to monitor the observed conditions.
472,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.
473,The Department of Environmental Protection investigated this complaint and found the Customer Service Request (CSR) to be void.
474,The DOHMH has investigated the complaint and issued a Notice of Violation. The establishment compied with the orders to correct the condition.
475,The Department of Buildings reviewed this complaint and referred it to the Department of Parks and Recreation for further action.
476,"The NYC Health Department (DOHMH) Bureau of Communicable Disease received your complaint. To learn more, call them at (646) 632-6104. This service request has been closed. No further updates will be available."
477,The Department of Health and Mental Hygiene has reviewed the complaint and has referred it to another Office/Bureau/Agency
478,The Department of Sanitation (DSNY) didn't see a violation of their rules or a condition they could resolve. DSNY will refer your complaint to another agency.  This Service Request has been closed.
479,"UNDER SECTION 2904 OF THE New York City Charter and Section 19-152 of the New York City Administrative Code, the property owner is responsible for maintaining, repairing and installing sidewalks adjoining their properties. The Department of Transportation has inspected the location and issued a violation to the property owner."
480,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the U.S. Department of Labor Wage and Hour Division. Call (866) 487-9243 or visit dol.gov/whd.
481,The Department of Buildings reviewed this complaint and assigned it to the Construction Division for further action.
482,"The Department of Transportation will inspect the condition and determine if the location will be added to the next or future season's curb construction contract (2 - 3 years). Community Boards and elected officials are consulted to determine curb construction priority and scheduling. For scheduling information regarding a specific curb, contact the local Community Board."
483,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons and Department of Buildings violation.
484,You were mailed a notice of complaint inactivation because the NYC Health Department tried and could not contact you to schedule a visit.
485,Your bus shelter request has been studied and the site is not feasible for a shelter.
